movie,genre,country,language,director,year,rating,views,budget_millions,box_office_millions,duration_minutes
Movie_1,Action,Spain,English,K. Milller,2015,8.6,69196,59.7,161.8,171
Movie_2,Sci-Fi,Spain,Japanese,L. Dubois,2015,6.3,65990,128.8,74.7,110
Movie_3,Horror,India,German,R. Kapoor,2024,7,232881,6.6,19.3,174
Movie_4,Drama,Japan,Hindi,R. Kapoor,2018,9.4,93236,30,49.2,130
Movie_5,Sci-Fi,South Korea,Korean,J. Smith,2022,7.9,246774,97.7,210.7,165
Movie_6,Historical,France,Korean,S. Rivera,2018,8.5,17012,167,470.8,95
Movie_7,Adventure,Germany,Spanish,S. Rivera,2019,7.6,223657,94.4,152,111
Movie_8,Historical,Spain,French,J. Smith,2017,7.9,69175,45,73.7,166
Movie_9,Sci-Fi,South Korea,Spanish,J. Smith,2018,8.9,216037,82.3,107.3,112
Movie_10,Thriller,France,Spanish,R. Kapoor,2022,7.4,244743,162.5,150.9,102
Movie_11,Historical,Spain,Japanese,S. Rivera,2021,9.1,109700,93.7,327.2,102
Movie_12,Sci-Fi,India,Japanese,D. Wilson,2016,6.5,46938,199.1,351.7,93
Movie_13,Romance,Spain,Korean,R. Kapoor,2019,9.4,230648,235.9,599.4,99
Movie_14,Mystery,Germany,Hindi,M. Tanaka,2016,7,46460,116.2,390.6,177
Movie_15,Romance,Canada,German,M. Tanaka,2016,9,83235,211.2,427.3,110
Movie_16,Romance,Germany,French,A. Nolan,2023,9.2,162009,84.4,47.1,131
Movie_17,Thriller,Canada,French,D. Wilson,2024,9.3,27453,184.3,543.3,153
Movie_18,Romance,France,Spanish,R. Kapoor,2017,6.9,233703,153.6,521.2,154
Movie_19,Adventure,Japan,English,L. Dubois,2020,7.5,140679,115.6,143.8,93
Movie_20,Historical,Japan,English,L. Dubois,2018,6,190556,159.6,189.4,89
Movie_21,Fantasy,Australia,French,D. Wilson,2022,6.7,39684,182.2,573.4,158
Movie_22,Adventure,USA,Spanish,S. Rivera,2018,6.3,177748,110.6,195.8,144
Movie_23,Sci-Fi,Spain,Japanese,M. Tanaka,2021,8.5,214870,216.1,269.3,109
Movie_24,Adventure,UK,English,A. Nolan,2017,7,70485,219.2,159.2,155
Movie_25,Action,Canada,Japanese,A. Nolan,2018,6.6,132307,122.9,380.2,92
Movie_26,Adventure,Spain,Spanish,D. Wilson,2019,9.2,210816,116.5,206.1,178
Movie_27,Drama,Japan,English,A. Nolan,2018,7,20331,146.9,312.4,180
Movie_28,Historical,UK,Korean,M. Tanaka,2022,7.8,228535,135.1,90.6,150
Movie_29,Action,France,Hindi,A. Nolan,2024,6.2,230920,62.6,53.8,157
Movie_30,Historical,France,Spanish,J. Smith,2016,7.5,158006,143.5,207.9,118
Movie_31,Thriller,USA,Japanese,S. Rivera,2019,7.4,181079,163.1,305.3,94
